S,A
5.236,4.842
5.225,4.862
5.215,4.893
5.204,4.852
5.194,4.872
5.183,4.842
5.173,4.842
5.163,4.852
5.152,4.882
5.142,4.882
5.132,4.862
5.122,4.882
5.111,4.842
5.101,4.862
5.091,4.862
5.081,4.852
5.071,4.852
5.06,4.862
5.05,4.852
5.04,4.882
5.03,4.882
5.02,4.903
5.01,4.893
5,4.862
4.99,4.893
4.98,4.872
4.97,4.852
4.96,4.852
4.95,4.882
4.94,4.882
4.93,4.852
4.92,4.893
4.91,4.882
4.9,4.872
4.89,4.882
4.882,4.882
4.872,4.893
4.862,4.893
4.852,4.862
4.842,4.913
4.832,4.882
4.822,4.872
4.812,4.903
4.805,4.862
4.795,4.903
4.785,4.872
4.775,4.882
4.765,4.872
4.755,4.893
4.747,4.893
4.737,4.923
4.727,4.882
4.717,4.882
4.71,4.882
4.7,4.882
4.69,4.923
4.68,4.923
4.673,4.903
4.662,4.872
4.652,4.882
4.642,4.882
4.635,4.882
4.625,4.893
4.615,4.903
4.608,4.882
4.597,4.882
4.588,4.913
4.58,4.913
4.57,4.882
4.56,4.893
4.552,4.903
4.543,4.893
4.532,4.893
4.525,4.893
4.515,4.913
4.505,4.893
4.497,4.903
4.487,4.882
4.48,4.923
4.47,4.882
4.463,4.893
4.452,4.903
4.443,4.903
4.435,4.893
4.425,4.903
4.418,4.903
4.407,4.872
4.4,4.862
4.39,4.913
4.382,4.872
4.372,4.872
4.365,4.872
4.355,4.882
4.347,4.893
4.338,4.862
4.33,4.852
4.32,4.893
4.312,4.903
4.302,4.913
4.295,4.872
4.287,4.923
4.277,4.842
4.27,4.893
4.26,4.954
4.253,4.933
4.242,4.76
4.235,4.893
4.227,4.108
4.217,4.148
4.21,4.882
4.202,4.098
4.193,4.098
4.185,4.108
4.177,4.108
4.168,4.148
4.16,4.21
4.152,3.996
4.142,4.077
4.135,4.108
4.128,4.098
4.117,4.138
4.11,4.098
4.102,4.098
4.092,4.189
4.085,4.077
4.077,4.098
4.07,4.108
4.06,4.148
4.052,4.179
4.045,4.118
4.037,4.189
4.027,4.148
4.02,4.159
4.012,4.148
4.005,4.077
3.997,4.138
3.987,4.067
3.98,4.108
3.972,4.169
3.965,4.179
3.957,4.047
3.95,4.118
3.94,4.179
3.932,4.148
3.925,4.148
3.918,4.138
3.91,4.159
3.902,4.128
3.895,4.148
3.885,4.159
3.877,4.179
3.87,4.118
3.862,4.118
3.855,4.108
3.847,4.118
3.84,4.179
3.832,4.169
3.825,4.128
3.817,4.159
3.81,4.077
3.803,4.148
3.795,4.169
3.787,4.179
3.78,4.148
3.772,4.138
3.765,4.138
3.757,4.189
3.75,4.148
3.742,4.199
3.735,4.148
3.727,4.148
3.72,4.118
3.712,4.179
3.705,4.098
3.697,4.108
3.69,4.159
3.682,4.159
3.675,4.128
3.668,4.189
3.66,4.138
3.652,4.199
3.645,4.148
3.637,4.138
3.63,4.148
3.622,4.159
3.617,4.138
3.61,4.148
3.602,4.159
3.595,4.148
3.587,4.179
3.58,4.159
3.572,4.148
3.565,4.21
3.56,4.159
3.553,4.169
3.545,4.159
3.537,4.159
3.53,4.199
3.523,4.159
3.517,4.21
3.51,4.169
3.502,4.199
3.495,4.148
3.487,4.21
3.482,4.159
3.475,4.21
3.467,4.21
3.46,4.21
3.452,4.148
3.447,4.159
3.44,4.21
3.432,4.22
3.425,4.23
3.42,4.23
3.412,4.169
3.405,4.23
3.4,4.199
3.392,4.23
3.385,4.22
3.377,4.23
3.372,4.21
3.365,4.21
3.357,4.189
3.352,4.22
3.345,4.22
3.337,4.199
3.332,4.23
3.325,4.22
3.317,4.22
3.312,4.23
3.305,4.22
3.297,4.22
3.293,4.21
3.285,4.21
3.277,4.24
3.273,3.659
3.265,4.22
3.26,4.22
3.252,4.199
3.245,4.261
3.24,4.23
3.232,4.189
3.227,3.649
3.22,3.639
3.212,4.23
3.207,4.22
3.2,4.24
3.195,4.22
3.188,3.629
3.182,3.669
3.175,3.659
3.17,3.333
3.162,3.924
3.158,3.659
3.15,4.271
3.145,3.343
3.138,3.343
3.132,3.333
3.125,3.353
3.12,3.343
3.112,3.333
3.107,3.343
3.1,3.353
3.095,3.343
3.087,2.925
3.082,3.343
3.075,3.343
3.07,2.885
3.062,2.905
3.057,2.222
3.05,3.333
3.045,2.905
3.037,2.905
3.033,2.905
3.027,2.915
3.02,2.905
3.015,2.905
3.007,2.905
3.002,2.905
2.997,2.905
2.99,2.222
2.985,2.895
2.977,2.885
2.972,2.915
2.967,2.905
2.96,2.915
2.955,2.232
2.95,2.905
2.942,1.977
2.938,2.161
2.932,1.988
2.925,2.141
2.92,2.834
2.912,1.998
2.908,2.151
2.902,1.988
2.898,2.202
2.89,2.222
2.885,1.988
2.88,1.977
2.872,1.988
2.867,2.151
2.862,1.967
2.855,2.049
2.85,2.151
2.845,1.957
2.84,1.988
2.832,1.967
2.827,2.141
2.822,1.988
2.817,1.977
2.81,1.977
2.805,1.794
2.8,1.988
2.795,1.977
2.787,2.141
2.783,1.794
2.777,1.794
2.773,1.988
2.765,1.784
2.76,1.794
2.755,1.988
2.75,1.529
2.745,1.784
2.737,1.988
2.732,1.784
