S,A
10.92385155,0.210075027
11.03247341,0.205251876
11.14788414,0.209539121
11.26329486,0.199356913
11.37191672,0.213290461
11.48732745,0.23204716
11.60273818,0.283494105
11.72493777,0.295819936
11.8403485,0.295819936
11.96254809,0.31886388
12.07795881,0.339764202
12.20694727,0.359592712
12.32914687,0.399249732
12.45134646,0.414790997
12.57354605,0.443193998
12.70253451,0.489281886
12.83152297,0.495176849
12.96051143,0.498392283
13.08949989,0.504823151
13.22527721,0.498392283
13.35426567,0.484994641
13.490043,0.494640943
13.62582032,0.512325831
13.76838651,0.491425509
13.90416384,0.506430868
14.04673003,0.513933548
14.18929622,0.510182208
14.33186241,0.53965702
14.4744286,0.647374062
14.62378366,0.68113612
14.76634985,0.652733119
14.91570491,0.673633441
15.06505997,0.781886388
15.22120389,0.784565916
15.37055895,0.790996785
15.52670287,0.818327974
15.6828468,0.844051447
15.83899072,0.814576635
16.00192351,0.810825295
16.1648563,0.821543408
16.32778909,0.807609861
16.49072188,0.810825295
16.66044354,0.857449089
16.82337633,0.826366559
16.99309799,0.897642015
17.16960851,0.96034298
17.33933017,1.012861736
17.51584069,1.012325831
17.69235121,1.056270096
17.8349174,1.237406217
18.01142792,1.273847803
18.19472731,1.335476956
18.3780267,1.365487674
18.56811496,1.300643087
18.75141435,1.259914255
18.9415026,1.212754555
19.13159086,1.225616292
19.32167911,1.025723473
19.51855623,1.094855305
19.71543336,1.213826367
19.91231048,1.236334405
20.11597647,1.233118971
20.31964245,1.34244373
20.52330844,1.363879957
20.72697443,1.515541265
20.93742928,1.518756699
21.14788414,1.394426581
21.35833899,1.310289389
21.57558271,1.333333333
21.79282643,1.328510182
22.01685902,1.288317256
22.23410274,1.19721329
22.45813532,1.094855305
22.68895678,0.976956056
22.91298936,0.930332262
23.14381082,0.819399786
23.38142114,0.672561629
23.61224259,0.610932476
23.84985291,0.648445874
24.09425209,0.639335477
24.33186241,0.559485531
24.5762616,0.592175777
24.82744965,0.684351554
25.0786377,0.725080386
25.32982575,0.739013934
25.58780267,0.721864952
25.84577959,0.666666667
26.10375651,0.648445874
26.36852229,0.653269025
26.63328807,0.634512326
26.89805386,0.51982851
27.16960851,0.461950697
27.44795203,0.415862808
27.71950668,0.41693462
27.99785019,0.42550911
28.28298258,0.435691318
