S,A
10.92385155,-0.004608295
11.03247341,-0.004608295
11.14788414,-0.004608295
11.26329486,-0.004608295
11.37191672,-0.004608295
11.48732745,0.036866359
11.60273818,0.198156682
11.72493777,0.617511521
11.8403485,0.995391705
11.96254809,1.359447005
12.07795881,1.847926267
12.20694727,2.488479263
12.32914687,3.262672811
12.45134646,3.949308756
12.57354605,4.350230415
12.70253451,4.520737327
12.83152297,4.728110599
12.96051143,4.769585253
13.08949989,4.820276498
13.22527721,4.861751152
13.35426567,5.055299539
13.490043,5.152073733
13.62582032,5.152073733
13.76838651,4.797235023
13.90416384,4.580645161
14.04673003,4.502304147
14.18929622,4.617511521
14.33186241,4.880184332
14.4744286,5.442396313
14.62378366,6.041474654
14.76634985,6.594470046
14.91570491,6.921658986
15.06505997,7.410138249
15.22120389,8.253456221
15.37055895,9.124423963
15.52670287,9.6359447
15.6828468,9.930875576
15.83899072,10.58525346
16.00192351,11.11981567
16.1648563,11.56682028
16.32778909,11.83410138
16.49072188,12.12903226
16.66044354,12.24423963
16.82337633,12.30875576
16.99309799,12.08294931
17.16960851,11.31336406
17.33933017,10.96313364
17.51584069,10.92626728
17.69235121,11.2764977
17.8349174,11.81105991
18.01142792,12.3640553
18.19472731,12.68202765
18.3780267,13.05529954
18.56811496,12.89861751
18.75141435,12.29953917
18.9415026,11.47465438
19.13159086,10.75115207
19.32167911,10.01843318
19.51855623,9.65437788
19.71543336,9.253456221
19.91231048,8.870967742
20.11597647,8.377880184
20.31964245,8.156682028
20.52330844,7.746543779
20.72697443,7.129032258
20.93742928,6.741935484
21.14788414,6.838709677
21.35833899,7.170506912
21.57558271,7.129032258
21.79282643,6.811059908
22.01685902,6.511520737
22.23410274,6.258064516
22.45813532,5.456221198
22.68895678,4.433179724
22.91298936,3.677419355
23.14381082,3.442396313
23.38142114,3.110599078
23.61224259,3.00921659
23.84985291,3.119815668
24.09425209,3.230414747
24.33186241,3.285714286
24.5762616,3.216589862
24.82744965,3.105990783
25.0786377,2.843317972
25.32982575,2.410138249
25.58780267,2.004608295
25.84577959,1.709677419
26.10375651,1.470046083
26.36852229,1.175115207
26.63328807,0.930875576
26.89805386,0.898617512
27.16960851,0.875576037
27.44795203,0.751152074
27.71950668,0.603686636
27.99785019,0.460829493
28.28298258,0.410138249
