S,A
10.49533898,14.25320513
10.48305085,14.15544872
10.47118644,14.09935897
10.45932203,14.02884615
10.4470339,14.06730769
10.43559322,14.09615385
10.42330508,14.05448718
10.41101695,14.0625
10.39957627,14.05448718
10.38728814,14.09935897
10.37542373,14.10096154
10.36355932,14.11858974
10.35127119,14.13461538
10.33940678,14.11217949
10.32711864,14.13621795
10.31525424,14.11858974
10.30338983,14.13461538
10.29110169,14.11698718
10.27923729,14.11698718
10.26737288,14.14423077
10.25508475,14.09935897
10.24364407,14.16826923
10.23135593,14.13782051
10.2190678,14.13621795
10.20762712,14.13461538
10.19533898,14.16987179
10.18305085,14.17948718
10.17118644,14.16666667
10.15932203,14.16826923
10.14745763,14.16185897
10.13516949,14.15064103
10.12330508,14.1474359
10.11144068,14.14903846
10.09915254,14.125
10.08728814,14.13141026
10.07542373,14.16987179
10.06313559,14.12980769
10.05169492,14.13782051
10.03940678,14.14102564
10.02711864,14.13942308
10.01525424,14.1650641
10.00338983,14.14102564
9.991101695,14.16025641
9.979237288,14.13782051
9.967372881,14.12019231
9.955508475,14.12820513
9.943220339,14.12660256
9.931355932,14.12339744
9.919491525,14.12980769
9.90720339,14.12339744
9.895338983,14.13301282
9.883474576,14.13621795
9.871186441,14.19711538
9.859322034,14.13141026
9.847457627,14.12179487
9.835169492,14.04967949
9.823305085,14.01602564
9.811440678,14.01602564
9.799152542,14.00160256
9.787288136,14.03846154
9.775423729,14.04647436
9.763135593,14.10576923
9.751271186,14.1474359
9.73940678,14.19551282
9.727542373,14.19230769
9.715254237,14.30448718
9.702966102,14.27724359
9.691525424,14.21634615
9.679237288,14.13301282
9.667372881,14.15064103
9.655508475,14.17467949
9.643220339,14.14423077
9.631355932,14.13301282
9.619491525,14.12179487
9.60720339,14.12820513
9.595338983,14.22435897
9.583474576,14.12820513
9.571610169,14.16666667
9.559322034,14.14583333
9.547033898,14.12660256
9.53559322,14.16666667
9.523305085,14.17948718
9.511016949,13.99519231
9.499576271,14.12660256
9.487288136,14.12980769
