S,A
12.81165312,0.049015669
12.83875339,-0.008838891
12.86133695,-0.008838891
12.88843722,0.010445962
12.91553749,-0.028123744
12.94263776,0.010445962
12.96522132,-0.028123744
12.99232159,0.010445962
13.01942186,-0.008838891
13.04652213,-0.008838891
13.06910569,0.049015669
13.09620596,0.029730816
13.12330623,0.029730816
13.1504065,0.029730816
13.17750678,0.010445962
13.20460705,0.087585376
13.22719061,-0.008838891
13.25429088,0.010445962
13.28139115,0.010445962
13.30849142,0.068300522
13.33559169,-0.066693451
13.36269196,0.010445962
13.38979223,0.029730816
13.4168925,0.010445962
13.44399277,0.049015669
13.46657633,0.049015669
13.4936766,-0.008838891
13.52529359,0.010445962
13.55239386,0.029730816
13.57949413,0.049015669
13.60207769,0.049015669
13.62917796,0.029730816
13.65627823,-0.008838891
13.6833785,0.029730816
13.71047877,0.010445962
13.74209575,-0.124548011
13.76919603,0.068300522
13.7962963,0.010445962
13.82339657,0.068300522
13.85049684,0.029730816
13.87759711,-0.028123744
13.90469738,0.068300522
13.93631436,0.049015669
13.96341463,-0.008838891
13.99051491,-0.047408598
14.01761518,-0.028123744
14.04471545,-0.008838891
14.07633243,-0.028123744
14.1034327,0.010445962
14.13053297,0.029730816
14.16214995,-0.008838891
14.18925023,0.029730816
14.2163505,0.087585376
14.24345077,-0.028123744
14.27506775,0.010445962
14.30216802,-0.028123744
14.32926829,0.087585376
14.35636856,-0.028123744
14.38798555,0.010445962
14.41508582,0.010445962
14.4467028,-0.008838891
14.47380307,-0.028123744
14.50090334,0.049015669
14.53252033,0.029730816
14.5596206,0.322217758
14.59123758,0.049015669
14.61833785,0.341502611
14.64995483,0.049015669
14.6770551,0.360787465
14.70867209,-0.028123744
14.73577236,0.341502611
14.76738934,0.437926878
14.79448961,0.322217758
14.82610659,0.322217758
14.85320687,0.341502611
14.88482385,0.029730816
14.91644083,0.322217758
14.9435411,0.049015669
14.97515808,0.380072318
15.00677507,0.010445962
15.03387534,0.360787465
15.06549232,0.322217758
15.0971093,0.360787465
15.12420958,0.341502611
15.15582656,-0.008838891
15.18744354,0.283648051
15.21454381,0.360787465
15.24616079,0.322217758
15.27777778,0.380072318
15.30939476,0.322217758
15.33649503,0.341502611
15.36811201,0.846122941
15.399729,0.322217758
15.43134598,0.418642025
15.45844625,0.341502611
15.49006323,0.418642025
15.52168022,0.418642025
15.5532972,0.399357172
15.58491418,0.322217758
15.61653117,0.399357172
15.64814815,0.380072318
15.67976513,0.437926878
15.71138211,0.380072318
15.7429991,0.865407794
15.77461608,0.322217758
15.80623306,0.302932905
15.83785005,0.380072318
15.86495032,0.380072318
15.90108401,0.341502611
15.93270099,0.399357172
15.96431798,0.380072318
15.99593496,0.923262354
16.02755194,0.437926878
16.05916893,0.846122941
16.09078591,0.865407794
16.1269196,0.846122941
16.15853659,0.846122941
16.19015357,0.884692648
16.22177055,0.399357172
16.25338753,0.380072318
16.28952123,0.884692648
16.32113821,0.264363198
16.35275519,0.846122941
16.38437218,0.903977501
16.41598916,0.360787465
16.45212285,0.360787465
16.48373984,0.788268381
16.51535682,0.826838088
16.55149051,0.341502611
16.5831075,0.903977501
16.61472448,0.826838088
16.65085818,0.807553234
16.68247516,0.807553234
16.71409214,1.974286862
16.75022584,1.935717155
16.78184282,0.884692648
16.8134598,0.807553234
16.8495935,0.788268381
16.88121048,1.974286862
16.91734417,0.865407794
16.94896116,0.788268381
16.98509485,1.935717155
17.02122855,1.955002009
17.05284553,1.955002009
17.08897922,0.768983528
17.12059621,1.955002009
17.1567299,3.02531137
17.18834688,1.916432302
17.22448058,0.826838088
17.26061427,0.865407794
17.29223126,1.858577742
17.32836495,3.02531137
17.35998193,3.995982322
17.39611563,1.955002009
17.43224932,4.134190438
17.46838302,2.948171957
17.50451671,2.032141422
17.53613369,3.006026517
17.57226739,4.053836882
17.60840108,4.192044998
17.64001807,4.153475291
17.67615176,3.006026517
17.71228546,2.986741663
17.74841915,4.095620731
17.78455285,3.006026517
17.82068654,4.053836882
17.85682023,5.085576537
17.89295393,3.02531137
17.92908762,4.053836882
17.96070461,5.10486139
