S,A
12.81165312,0.002551777
12.83875339,-0.001720966
12.86133695,-0.001720966
12.88843722,-0.000296718
12.91553749,-0.003145214
12.94263776,-0.000296718
12.96522132,-0.003145214
12.99232159,-0.000296718
13.01942186,-0.001720966
13.04652213,-0.001720966
13.06910569,0.002551777
13.09620596,0.00112753
13.12330623,0.00112753
13.1504065,0.00112753
13.17750678,-0.000296718
13.20460705,0.005400273
13.22719061,-0.001720966
13.25429088,-0.000296718
13.28139115,-0.000296718
13.30849142,0.003976025
13.33559169,-0.00599371
13.36269196,-0.000296718
13.38979223,0.00112753
13.4168925,-0.000296718
13.44399277,0.002551777
13.46657633,0.002551777
13.4936766,-0.001720966
13.52529359,-0.000296718
13.55239386,0.00112753
13.57949413,0.002551777
13.60207769,0.002551777
13.62917796,0.00112753
13.65627823,-0.001720966
13.6833785,0.00112753
13.71047877,-0.000296718
13.74209575,-0.010266453
13.76919603,0.003976025
13.7962963,-0.000296718
13.82339657,0.003976025
13.85049684,0.00112753
13.87759711,-0.003145214
13.90469738,0.003976025
13.93631436,0.002551777
13.96341463,-0.001720966
13.99051491,-0.004569462
14.01761518,-0.003145214
14.04471545,-0.001720966
14.07633243,-0.003145214
14.1034327,-0.000296718
14.13053297,0.00112753
14.16214995,-0.001720966
14.18925023,0.00112753
14.2163505,0.005400273
14.24345077,-0.003145214
14.27506775,-0.000296718
14.30216802,-0.003145214
14.32926829,0.005400273
14.35636856,-0.003145214
14.38798555,-0.000296718
14.41508582,-0.000296718
14.4467028,-0.001720966
14.47380307,-0.003145214
14.50090334,0.002551777
14.53252033,0.00112753
14.5596206,0.022728621
14.59123758,0.002551777
14.61833785,0.024152869
14.64995483,0.002551777
14.6770551,0.025577117
14.70867209,-0.003145214
14.73577236,0.024152869
14.76738934,0.031274108
14.79448961,0.022728621
14.82610659,0.022728621
14.85320687,0.024152869
14.88482385,0.00112753
14.91644083,0.022728621
14.9435411,0.002551777
14.97515808,0.027001365
15.00677507,-0.000296718
15.03387534,0.025577117
15.06549232,0.022728621
15.0971093,0.025577117
15.12420958,0.024152869
15.15582656,-0.001720966
15.18744354,0.019880126
15.21454381,0.025577117
15.24616079,0.022728621
15.27777778,0.027001365
15.30939476,0.022728621
15.33649503,0.024152869
15.36811201,0.061420687
15.399729,0.022728621
15.43134598,0.029849861
15.45844625,0.024152869
15.49006323,0.029849861
15.52168022,0.029849861
15.5532972,0.028425613
15.58491418,0.022728621
15.61653117,0.028425613
15.64814815,0.027001365
15.67976513,0.031274108
15.71138211,0.027001365
15.7429991,0.062844935
15.77461608,0.022728621
15.80623306,0.021304374
15.83785005,0.027001365
15.86495032,0.027001365
15.90108401,0.024152869
15.93270099,0.028425613
15.96431798,0.027001365
15.99593496,0.067117678
16.02755194,0.031274108
16.05916893,0.061420687
16.09078591,0.062844935
16.1269196,0.061420687
16.15853659,0.061420687
16.19015357,0.064269183
16.22177055,0.028425613
16.25338753,0.027001365
16.28952123,0.064269183
16.32113821,0.018455878
16.35275519,0.061420687
16.38437218,0.065693431
16.41598916,0.025577117
16.45212285,0.025577117
16.48373984,0.057147944
16.51535682,0.059996439
16.55149051,0.024152869
16.5831075,0.065693431
16.61472448,0.059996439
16.65085818,0.058572192
16.68247516,0.058572192
16.71409214,0.144739185
16.75022584,0.141890689
16.78184282,0.064269183
16.8134598,0.058572192
16.8495935,0.057147944
16.88121048,0.144739185
16.91734417,0.062844935
16.94896116,0.057147944
16.98509485,0.141890689
17.02122855,0.143314937
17.05284553,0.143314937
17.08897922,0.055723696
17.12059621,0.143314937
17.1567299,0.222360691
17.18834688,0.140466441
17.22448058,0.059996439
17.26061427,0.062844935
17.29223126,0.136193698
17.32836495,0.222360691
17.35998193,0.294047831
17.39611563,0.143314937
17.43224932,0.30425494
17.46838302,0.216663699
17.50451671,0.149011928
17.53613369,0.220936443
17.57226739,0.298320574
17.60840108,0.308527684
17.64001807,0.305679188
17.67615176,0.220936443
17.71228546,0.219512195
17.74841915,0.301406445
17.78455285,0.220936443
17.82068654,0.298320574
17.85682023,0.374517833
17.89295393,0.222360691
17.92908762,0.298320574
17.96070461,0.375942081
18.00135501,0.30425494
18.032972,0.305679188
18.0736224,0.297133701
