S,STD
13.33606557,0.003053077
13.46721311,0.007280413
13.60208644,0.015030531
13.74217586,0.027007985
13.87704918,0.043917332
14.0171386,0.065758572
14.16169896,0.087599812
14.30104322,0.106622828
14.44560358,0.119304838
14.58941878,0.125645843
14.73845007,0.128464068
14.88748137,0.129168624
15.03576751,0.12987318
15.18479881,0.131986848
15.33830104,0.137623297
15.49105812,0.147487083
15.6490313,0.160169093
15.80700447,0.174964772
15.96497765,0.196806012
16.12742176,0.233442931
16.28912072,0.289102865
16.45156483,0.358853922
16.61400894,0.430718647
16.78539493,0.50117426
16.95230999,0.570925317
17.12369598,0.644199155
17.29508197,0.722404885
17.46646796,0.802724284
17.64232489,0.882339126
17.82265276,0.954908408
18.00298063,1.014091123
18.18330849,1.062000939
18.36363636,1.104978863
18.54843517,1.146547675
18.73770492,1.181070925
18.92250373,1.198684829
19.11177347,1.192343823
19.30551416,1.167684359
19.49925484,1.137388445
19.69821162,1.112728981
19.89195231,1.093705965
20.09463487,1.082433067
20.29731744,1.08736496
20.49552906,1.13104744
20.70789866,1.22757163
20.91505216,1.368482856
21.12220566,1.528417097
21.33457526,1.680601221
21.55067064,1.812353217
21.76751118,1.920854861
21.98360656,2.004697041
22.20491803,2.063879756
22.3852459,2.094880225
22.61028316,2.118130578
22.83606557,2.136449037
23.06557377,2.16322217
23.29582712,2.204790982
23.5342772,2.262564584
23.76900149,2.344293095
24.00819672,2.459840301
24.2466468,2.613433537
24.4947839,2.798731799
24.73845007,3.007280413
24.98658718,3.222874589
25.23845007,3.418036637
25.49552906,3.56669798
25.74813711,3.653358384
26.0052161,3.677313293
26.26676602,3.644199155
26.53278689,3.556834194
26.79880775,3.406763739
27.06929955,3.189760451
27.33979136,2.916392673
27.6147541,2.61836543
27.89418778,2.332315641
28.17362146,2.082198215
28.45305514,1.872240488
28.74217586,1.690465007
29.03055142,1.519257868
29.32339791,1.355096289
29.61624441,1.207844058
29.914307,1.094410521
30.21609538,1.011272898
30.51862891,0.93447628
30.82488823,0.830906529
31.13561848,0.686472522
31.44709389,0.513856271
31.76676602,0.342649131
32.08271237,0.201737905
32.4076006,0.10803194
32.73174367,0.070690465
33.06110283,0.091827149
33.390462,0.14255519
33.72801788,0.202442461
34.06631893,0.262329732
34.40909091,0.310944105
34.75633383,0.343353687
35.10357675,0.360263034
35.45976155,0.365899483
35.81594635,0.362376703
36.17660209,0.34828558
36.53725782,0.320103335
36.90685544,0.275011743
