S,Slope
13.33606557,0.053781166
13.46721311,0.053781166
13.60208644,0.053781166
13.74217586,0.05666598
13.87704918,0.059550793
14.0171386,0.082629301
14.16169896,0.143210385
14.30104322,0.324953637
14.44560358,0.48361838
14.58941878,0.529775397
14.73845007,0.512466516
14.88748137,0.541314651
15.03576751,0.515351329
15.18479881,0.428806924
15.33830104,0.316299196
15.49105812,0.278796621
15.6490313,0.293220688
15.80700447,0.37688028
15.96497765,0.544199464
16.12742176,0.717288275
16.28912072,0.930764476
16.45156483,0.878837832
16.61400894,0.821141562
16.78539493,1.037502576
16.95230999,1.426952401
17.12369598,1.813517412
17.29508197,2.159695034
17.4657228,2.82897177
17.64157973,3.818462807
17.8219076,4.049247888
18.00223547,4.086750464
18.18256334,4.496393983
18.36363636,4.831032351
18.54843517,4.900267876
18.73770492,4.631980218
18.92250373,4.470430661
19.11177347,4.730063878
19.30551416,4.637749845
19.49925484,4.438697713
19.69746647,4.357922934
19.89195231,4.262724088
20.09463487,4.386771069
20.29731744,4.738718319
20.49552906,4.761796827
20.70789866,4.981042654
20.91505216,5.523387595
21.12220566,5.64166495
21.33457526,5.684937152
21.55067064,5.927261488
21.76751118,6.599423037
21.98360656,7.522563363
22.20417288,7.854316917
22.38450075,8.20914898
22.61028316,9.273645168
22.83606557,9.942921904
23.06557377,9.839068617
23.29582712,9.466927674
23.5342772,9.77560272
23.76900149,10.5833505
24.00819672,10.83721409
24.2466468,10.56604162
24.4947839,10.57469606
24.73845007,11.70265815
24.98658718,12.74696064
25.23845007,12.75561508
25.49552906,13.15371935
25.74813711,14.47496394
26.0052161,15.94333402
26.26676602,16.37894086
26.53278689,15.94621883
26.79880775,14.82114156
27.06929955,13.03544199
27.33979136,10.3698743
27.6147541,8.082217185
27.89418778,5.964764063
28.17362146,4.381001442
28.45305514,3.209767154
28.74217586,2.425097878
29.03055142,1.957758088
29.32339791,1.424067587
29.61624441,1.124046981
29.914307,0.884607459
30.21609538,0.751906038
30.51788376,0.777869359
30.82488823,0.552853905
31.13561848,0.249948485
31.44709389,0.001854523
31.76676602,0.001854523
32.08271237,0.001854523
32.4076006,0.001854523
32.73174367,0.001854523
33.06110283,0.001854523
33.390462,0.001854523
33.72801788,0.001854523
34.06631893,0.154749639
34.40909091,0.431691737
34.75633383,0.665361632
35.10357675,0.829796002
35.45976155,0.927879662
35.81594635,0.945188543
36.17660209,0.873068205
36.53725782,0.653822378
36.90685544,0.437461364
