S,Slope
13.33606557,0.001854523
13.46721311,0.001854523
13.60208644,0.004739336
13.74217586,0.010508964
13.87704918,0.027817845
14.0171386,0.059550793
14.16169896,0.111477437
14.30104322,0.177828148
14.44560358,0.247063672
14.58941878,0.304759942
14.73845007,0.333608077
14.88748137,0.32783845
15.03576751,0.293220688
15.18479881,0.252833299
15.33830104,0.229754791
15.49105812,0.238409231
15.6490313,0.281681434
15.80700447,0.350916959
15.96497765,0.428806924
16.12742176,0.506696889
16.28912072,0.599010921
16.45156483,0.734597156
16.61400894,0.939418916
16.78539493,1.225015454
16.95230999,1.585617144
17.12369598,1.995260664
17.29508197,2.427982691
17.4657228,2.849165465
17.64157973,3.241500103
17.8219076,3.599216979
18.00223547,3.913661653
18.18256334,4.173294869
18.36363636,4.372347002
18.54843517,4.513702864
18.73770492,4.614671337
18.92250373,4.695446116
19.11177347,4.758912013
19.30551416,4.799299402
19.49925484,4.81372347
19.69746647,4.802184216
19.89195231,4.758912013
20.09463487,4.698330929
20.29731744,4.634865032
20.49552906,4.603132083
20.70789866,4.640634659
20.91505216,4.787760148
21.12220566,5.082011127
21.33457526,5.549350917
21.55067064,6.172470637
21.76751118,6.90521327
21.98360656,7.666804039
22.20417288,8.393777045
22.38450075,8.814959819
22.61028316,9.2592211
22.83606557,9.530393571
23.06557377,9.700597569
23.29582712,9.836183804
23.5342772,9.991963734
23.76900149,10.19390068
24.00819672,10.44199464
24.2466468,10.73624562
24.4947839,11.08530806
24.73845007,11.51803008
24.98658718,12.07768391
25.23845007,12.78157841
25.49552906,13.58932619
25.74813711,14.37111065
26.0052161,14.92211004
26.26676602,15.03461776
26.53278689,14.58170204
26.79880775,13.55182361
27.06929955,12.04595096
27.33979136,10.24871214
27.6147541,8.367813723
27.89418778,6.59365341
28.17362146,5.058932619
28.45305514,3.835771688
28.74217586,2.941479497
29.03055142,2.335668659
29.32339791,1.946218834
29.61624441,1.683700804
29.914307,1.464454976
30.21609538,1.227900268
30.51788376,0.956727797
30.82488823,0.671131259
31.13561848,0.411498042
31.44709389,0.218215537
31.76676602,0.097053369
32.08271237,0.036472285
32.4076006,0.013393777
32.73174367,0.010508964
33.06110283,0.024933031
33.390462,0.059550793
33.72801788,0.120131877
34.06631893,0.218215537
34.40909091,0.339377705
34.75633383,0.466309499
35.10357675,0.570162786
35.45976155,0.619204616
35.81594635,0.604780548
36.17660209,0.529775397
36.53725782,0.411498042
36.90685544,0.310529569
